#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
cubes.link,suspend,false,false,Soapbox detected on cubes.link at 2023-08-05 by soapblock.sh,false
cyber.gent,suspend,false,false,Soapbox detected on pleroma.cyber.gent at 2023-08-15 by soapblock.sh,false
dansu.org,suspend,false,false,Soapbox detected on dansu.org at 2023-08-05 by soapblock.sh,false
dark-alexandr.net,suspend,false,false,Soapbox detected on pleroma.dark-alexandr.net at 2023-08-12 by soapblock.sh,false
dasaku.net,suspend,false,false,Soapbox detected on key.dasaku.net at 2023-08-05 by soapblock.sh,false
datenkastl.de,suspend,false,false,Soapbox detected on fedi.datenkastl.de at 2023-08-11 by soapblock.sh,false
dawdle.space,suspend,false,false,Soapbox detected on social.dawdle.space at 2023-08-12 by soapblock.sh,false
dcentralisedmedia.com,suspend,false,false,Soapbox detected on dcentralisedmedia.com at 2023-08-11 by soapblock.sh,false
deadreckoning.cc,suspend,false,false,Soapbox detected on deadreckoning.cc at 2023-08-05 by soapblock.sh,false
decayable.ink,suspend,false,false,Soapbox detected on decayable.ink at 2023-08-05 by soapblock.sh,false
defake.app,suspend,false,false,Soapbox detected on we.defake.app at 2023-08-05 by soapblock.sh,false
defenestrate.it,suspend,false,false,Soapbox detected on social.defenestrate.it at 2023-08-12 by soapblock.sh,false
delta9.me,suspend,false,false,Soapbox detected on delta9.me at 2023-08-05 by soapblock.sh,false
dirigibly.ltd,suspend,false,false,Soapbox detected on social.dirigibly.ltd at 2023-08-05 by soapblock.sh,false
disequilibrium.org,suspend,false,false,Soapbox detected on disequilibrium.org at 2023-08-05 by soapblock.sh,false
disroot.org,suspend,false,false,Soapbox detected on fe.disroot.org at 2023-08-11 by soapblock.sh,false
djsumdog.com,suspend,false,false,Soapbox detected on djsumdog.com at 2023-08-05 by soapblock.sh,false
dline.xyz,suspend,false,false,Soapbox detected on dline.xyz at 2023-08-11 by soapblock.sh,false
doom.broker,suspend,false,false,Soapbox detected on social.doom.broker at 2023-08-05 by soapblock.sh,false
dovac.org,suspend,false,false,Soapbox detected on dovac.org at 2023-08-05 by soapblock.sh,false
dox.land,suspend,false,false,Soapbox detected on dox.land at 2023-08-05 by soapblock.sh,false
drcassone.social,suspend,false,false,Soapbox detected on drcassone.social at 2023-08-05 by soapblock.sh,false
dryusdan.fr,suspend,false,false,Soapbox detected on social.dryusdan.fr at 2023-08-12 by soapblock.sh,false
dsocialize.net,suspend,false,false,Soapbox detected on dsocialize.net at 2023-08-11 by soapblock.sh,false
duckchat.me,suspend,false,false,Soapbox detected on duckchat.me at 2023-08-05 by soapblock.sh,false
ehnit.com,suspend,false,false,Soapbox detected on ehnit.com at 2023-08-05 by soapblock.sh,false
eicht.me,suspend,false,false,Soapbox detected on social.eicht.me at 2023-08-05 by soapblock.sh,false
el-spot.xyz,suspend,false,false,Soapbox detected on el-spot.xyz at 2023-08-05 by soapblock.sh,false
encipher.in,suspend,false,false,Soapbox detected on dusk.encipher.in at 2023-08-13 by soapblock.sh,false
encryptomatic.com,suspend,false,false,Soapbox detected on social.encryptomatic.com at 2023-08-05 by soapblock.sh,false
enj0y.net,suspend,false,false,Soapbox detected on s.enj0y.net at 2023-08-13 by soapblock.sh,false
entire.vc,suspend,false,false,Soapbox detected on entire.vc at 2023-08-05 by soapblock.sh,false
epenguin.com,suspend,false,false,Soapbox detected on social.epenguin.com at 2023-08-05 by soapblock.sh,false
esmailelbob.xyz,suspend,false,false,Soapbox detected on social.esmailelbob.xyz at 2023-08-12 by soapblock.sh,false
espeweb.net,suspend,false,false,Soapbox detected on social.espeweb.net at 2023-08-05 by soapblock.sh,false
eter9.com,suspend,false,false,Soapbox detected on eter9.com at 2023-08-05 by soapblock.sh,false
etr.ist,suspend,false,false,Soapbox detected on po.etr.ist at 2023-08-12 by soapblock.sh,false
evansims.com,suspend,false,false,Soapbox detected on social.evansims.com at 2023-08-15 by soapblock.sh,false
eveningzoo.club,suspend,false,false,Soapbox detected on eveningzoo.club at 2023-08-05 by soapblock.sh,false
ewatchers.org,suspend,false,false,Soapbox detected on social.ewatchers.org at 2023-08-12 by soapblock.sh,false
fabean.xyz,suspend,false,false,Soapbox detected on social.fabean.xyz at 2023-08-05 by soapblock.sh,false
fbxl.net,suspend,false,false,Soapbox detected on social.fbxl.net at 2023-08-05 by soapblock.sh,false
february.social,suspend,false,false,Soapbox detected on february.social at 2023-08-05 by soapblock.sh,false
fediverse.pl,suspend,false,false,Soapbox detected on pl.fediverse.pl at 2023-08-11 by soapblock.sh,false
fedposters.club,suspend,false,false,Soapbox detected on pleroma.fedposters.club at 2023-08-12 by soapblock.sh,false
fetziverse.de,suspend,false,false,Soapbox detected on social.fetziverse.de at 2023-08-05 by soapblock.sh,false
fgc.network,suspend,false,false,Soapbox detected on fgc.network at 2023-08-11 by soapblock.sh,false
fightthis.net,suspend,false,false,Soapbox detected on fightthis.net at 2023-08-05 by soapblock.sh,false
firedragonstudios.com,suspend,false,false,Soapbox detected on pleroma.firedragonstudios.com at 2023-08-05 by soapblock.sh,false
floyds.io,suspend,false,false,Soapbox detected on floyds.io at 2023-08-11 by soapblock.sh,false
fo.am,suspend,false,false,Soapbox detected on fff.fo.am at 2023-08-15 by soapblock.sh,false
foxden.party,suspend,false,false,Soapbox detected on pleroma.foxden.party at 2023-08-12 by soapblock.sh,false
foxy.social,suspend,false,false,Soapbox detected on soapbox.foxy.social at 2023-08-05 by soapblock.sh,false
foygl.com,suspend,false,false,Soapbox detected on foygl.com at 2023-08-05 by soapblock.sh,false
freespeech.club,suspend,false,false,Soapbox detected on pleroma.freespeech.club at 2023-08-12 by soapblock.sh,false
freezepeach.online,suspend,false,false,Soapbox detected on freezepeach.online at 2023-08-05 by soapblock.sh,false
