#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
sea.social,suspend,false,false,Soapbox detected on sea.social at 2023-08-05 by soapblock.sh,false
seal.cafe,suspend,false,false,Soapbox detected on seal.cafe at 2023-08-05 by soapblock.sh,false
severa.name,suspend,false,false,Soapbox detected on social.severa.name at 2023-08-12 by soapblock.sh,false
sheep.network,suspend,false,false,Soapbox detected on sheep.network at 2023-08-05 by soapblock.sh,false
shinkai.party,suspend,false,false,Soapbox detected on shinkai.party at 2023-08-12 by soapblock.sh,false
shitpost.cloud,suspend,false,false,Soapbox detected on shitpost.cloud at 2023-08-05 by soapblock.sh,false
simplo.social,suspend,false,false,Soapbox detected on simplo.social at 2023-08-05 by soapblock.sh,false
skyenet.social,suspend,false,false,Soapbox detected on skyenet.social at 2023-08-12 by soapblock.sh,false
smallint.net,suspend,false,false,Soapbox detected on social.smallint.net at 2023-08-05 by soapblock.sh,false
smokecircle.co,suspend,false,false,Soapbox detected on smokecircle.co at 2023-08-05 by soapblock.sh,false
smuganimeavatar.xyz,suspend,false,false,Soapbox detected on smuganimeavatar.xyz at 2023-08-05 by soapblock.sh,false
sneed.vip,suspend,false,false,Soapbox detected on sneed.vip at 2023-08-12 by soapblock.sh,false
soapbox.pub,suspend,false,false,Soapbox detected on fe.soapbox.pub at 2023-08-05 by soapblock.sh,false
socialgoblins.club,suspend,false,false,Soapbox detected on socialgoblins.club at 2023-08-05 by soapblock.sh,false
sonichu.com,suspend,false,false,Soapbox detected on fans.sonichu.com at 2023-08-05 by soapblock.sh,false
sopelj.ca,suspend,false,false,Soapbox detected on federation.sopelj.ca at 2023-08-11 by soapblock.sh,false
soulcrash.net,suspend,false,false,Soapbox detected on soulcrash.net at 2023-08-12 by soapblock.sh,false
sovran.me,suspend,false,false,Soapbox detected on sovran.me at 2023-08-05 by soapblock.sh,false
spearman.xyz,suspend,false,false,Soapbox detected on spearman.xyz at 2023-08-05 by soapblock.sh,false
spinster.xyz,suspend,false,false,Soapbox detected on spinster.xyz at 2023-08-05 by soapblock.sh,false
spooky.social,suspend,false,false,Soapbox detected on spooky.social at 2023-08-05 by soapblock.sh,false
squeeble.lol,suspend,false,false,Soapbox detected on squeeble.lol at 2023-08-05 by soapblock.sh,false
stale.link,suspend,false,false,Soapbox detected on social.stale.link at 2023-08-12 by soapblock.sh,false
stamper.net,suspend,false,false,Soapbox detected on esocial.stamper.net at 2023-08-11 by soapblock.sh,false
storkeus.xyz,suspend,false,false,Soapbox detected on social.storkeus.xyz at 2023-08-12 by soapblock.sh,false
stormcloak.info,suspend,false,false,Soapbox detected on stormcloak.info at 2023-08-05 by soapblock.sh,false
stuartpb.com,suspend,false,false,Soapbox detected on stuartpb.com at 2023-08-05 by soapblock.sh,false
subvisual.co,suspend,false,false,Soapbox detected on fedi.subvisual.co at 2023-08-11 by soapblock.sh,false
suzu.eu.org,suspend,false,false,Soapbox detected on suzu.eu.org at 2023-08-05 by soapblock.sh,false
svltan.at,suspend,false,false,Soapbox detected on svltan.at at 2023-08-05 by soapblock.sh,false
synth.zip,suspend,false,false,Soapbox detected on synth.zip at 2023-08-05 by soapblock.sh,false
takehi.to,suspend,false,false,Soapbox detected on social.takehi.to at 2023-08-12 by soapblock.sh,false
talokan.social,suspend,false,false,Soapbox detected on talokan.social at 2023-08-05 by soapblock.sh,false
teci.world,suspend,false,false,Soapbox detected on social.teci.world at 2023-08-05 by soapblock.sh,false
teichisma.info,suspend,false,false,Soapbox detected on epi.teichisma.info at 2023-08-05 by soapblock.sh,false
tenhou.in,suspend,false,false,Soapbox detected on tenhou.in at 2023-08-12 by soapblock.sh,false
tevps.net,suspend,false,false,Soapbox detected on pleroma.tevps.net at 2023-08-12 by soapblock.sh,false
thebag.social,suspend,false,false,Soapbox detected on thebag.social at 2023-08-05 by soapblock.sh,false
theepicblock.nl,suspend,false,false,Soapbox detected on fedi.theepicblock.nl at 2023-08-05 by soapblock.sh,false
thefire.work,suspend,false,false,Soapbox detected on thefire.work at 2023-08-12 by soapblock.sh,false
thefloatinglab.world,suspend,false,false,Soapbox detected on fediverse.thefloatinglab.world at 2023-08-11 by soapblock.sh,false
themiddleofthestreet.xyz,suspend,false,false,Soapbox detected on themiddleofthestreet.xyz at 2023-08-12 by soapblock.sh,false
thenobody.club,suspend,false,false,Soapbox detected on member.thenobody.club at 2023-08-05 by soapblock.sh,false
theredcaps.net,suspend,false,false,Soapbox detected on social.theredcaps.net at 2023-08-05 by soapblock.sh,false
thisawfuldungeon.art,suspend,false,false,Soapbox detected on pleroma.thisawfuldungeon.art at 2023-08-12 by soapblock.sh,false
tmprs.net,suspend,false,false,Soapbox detected on social.tmprs.net at 2023-08-12 by soapblock.sh,false
togethr.party,suspend,false,false,Soapbox detected on togethr.party at 2023-08-12 by soapblock.sh,false
tpo.world,suspend,false,false,Soapbox detected on tpo.world at 2023-08-12 by soapblock.sh,false
treeoflifecomic.com,suspend,false,false,Soapbox detected on fedi.treeoflifecomic.com at 2023-08-05 by soapblock.sh,false
triangle.social,suspend,false,false,Soapbox detected on triangle.social at 2023-08-12 by soapblock.sh,false
truthsocial.com,suspend,false,false,Soapbox detected on truthsocial.com at 2023-08-12 by soapblock.sh,false
twhtv.club,suspend,false,false,Soapbox detected on twhtv.club at 2023-08-05 by soapblock.sh,false
twtr.plus,suspend,false,false,Soapbox detected on hell.twtr.plus at 2023-08-05 by soapblock.sh,false
uden.ai,suspend,false,false,Soapbox detected on social.uden.ai at 2023-08-05 by soapblock.sh,false
ugoday.co,suspend,false,false,Soapbox detected on social.ugoday.co at 2023-08-05 by soapblock.sh,false
undeadnetwork.de,suspend,false,false,Soapbox detected on anti.undeadnetwork.de at 2023-08-11 by soapblock.sh,false
unigiri.net,suspend,false,false,Soapbox detected on pleroma.unigiri.net at 2023-08-12 by soapblock.sh,false
updog.no,suspend,false,false,Soapbox detected on updog.no at 2023-08-05 by soapblock.sh,false
usualsuspects.lol,suspend,false,false,Soapbox detected on the.usualsuspects.lol at 2023-08-05 by soapblock.sh,false
vikalp.social,suspend,false,false,Soapbox detected on vikalp.social at 2023-08-05 by soapblock.sh,false
vinaymanro.com,suspend,false,false,Soapbox detected on www.vinaymanro.com at 2023-08-05 by soapblock.sh,false
voltaicforge.com,suspend,false,false,Soapbox detected on fedi.voltaicforge.com at 2023-08-15 by soapblock.sh,false
vox.social,suspend,false,false,Soapbox detected on vox.social at 2023-08-13 by soapblock.sh,false
vpx.moe,suspend,false,false,Soapbox detected on soapbox.vpx.moe at 2023-08-13 by soapblock.sh,false
vrutkovs.eu,suspend,false,false,Soapbox detected on social.vrutkovs.eu at 2023-08-05 by soapblock.sh,false
vsieti.sk,suspend,false,false,Soapbox detected on podhubie.vsieti.sk at 2023-08-05 by soapblock.sh,false
were.social,suspend,false,false,Soapbox detected on were.social at 2023-08-05 by soapblock.sh,false
westergaard.social,suspend,false,false,Soapbox detected on westergaard.social at 2023-08-05 by soapblock.sh,false
whoseknowledge.social,suspend,false,false,Soapbox detected on whoseknowledge.social at 2023-08-05 by soapblock.sh,false
winther.social,suspend,false,false,Soapbox detected on winther.social at 2023-08-12 by soapblock.sh,false
wisebuilders.win,suspend,false,false,Soapbox detected on wisebuilders.win at 2023-08-05 by soapblock.sh,false
woln.eu,suspend,false,false,Soapbox detected on woln.eu at 2023-08-05 by soapblock.sh,false
woodynet.net,suspend,false,false,Soapbox detected on pleroma.woodynet.net at 2023-08-05 by soapblock.sh,false
x0.dk,suspend,false,false,Soapbox detected on x0.dk at 2023-08-05 by soapblock.sh,false
xarxa.cloud,suspend,false,false,Soapbox detected on plrm.xarxa.cloud at 2023-08-12 by soapblock.sh,false
xinu.me,suspend,false,false,Soapbox detected on fedi.xinu.me at 2023-08-11 by soapblock.sh,false
xion.social,suspend,false,false,Soapbox detected on xion.social at 2023-08-05 by soapblock.sh,false
xscape.top,suspend,false,false,Soapbox detected on xscape.top at 2023-08-05 by soapblock.sh,false
yostme.social,suspend,false,false,Soapbox detected on yostme.social at 2023-08-13 by soapblock.sh,false
